Id,twitter,polarity,score,text
357.0,"no último domingo, o fantástico mostrou uma megaoperação do ibama para tirar garimpeiros de terras indígenas e evitar alastramento do coronavírus. hoje, o governo exonerou o diretor de proteção ambiental do ibama, olivaldi azevedo. tirem suas próprias conclusões!",-1.0,0,último domingo fantástico mostrar megaoperação ibama tirar garimpeiro terra indígena evitar alastramento coronavíru hoje governo exonerar diretor proteção ambiental ibama olivaldi azevedo tir próprio conclusão
479.0,🆘 especial coronavírus | episódio 39 - possibilidades de tratamento ... tv justiça oficial ... https://t.co/82t9vm4ipf,1.0,1,especial coronavíru episódio possibilidade tratamento tv justiça oficial
371.0,"o cantor eduardo costa desafiando os pastores a exterminar o coronavirus.eu sou a favor da treta, já estou avisando.😂😂😂😂😂😂👉👌 https://t.co/shinhwvxsx",1.0,1,cantor eduardo costa desafiar pastor exterminar coronavirusar favor treta avisar
293.0,"governador wilson witzel foi diagnosticado com coronavírus, espero que ele use hidroxicloroquina, de coração.",-1.0,0,governador wilson witzel diagnosticar coronavíru esperar usar hidroxicloroquino coração
335.0,"mst enfrenta pandemia do coronavírus com a solidariedade | sem terra doam mais de três toneladas de frutas e verduras dos assentamentos em santa maria da boa vista, no pernambuco . Saiba mais: https://t.co/t8xlbikmmf#quarentenasemterra#alimentosaudáveléumdireito",1.0,1,mst enfrentar pandemia coronavíru solidariedade terra doar três tonelada fruta verdura assentamento santo maria bom vista pernambuco saber
39.0,"ah, lacrou? vc está enganado, ele previu sim 1 milhão de mortes até agosto. espero que você passe a pesquisar o básico no google na próxima postage,evitando assim a vergonha que passa. https://t.co/a6xfzwwyx8",-1.0,0,ah lacrar vc enganado prever sim milhão morte agosto esperar passar pesquisar básico google próximo postageevitar assim vergonha passar
239.0,é... hoje é dia da aplicação da resolução 672/2020 do stf... coronavírus no pretório excelso. adi 6341 e adi 6343. a discussão afeta às mps 926/20 e 927/20.,1.0,1,hoje dia aplicação resolução stf coronavíru pretório excelso adi adi discussão afetar mps
49.0,"em ivoti todo mundo vai ter coronavírus, academias abrindo hoje. comércio aberto desde fim de semana já",-1.0,0,ivoti todo mundo ir ter coronavíru academia abrir hoje comércio abrir desde fim semana
128.0,agentes de fiscalização notificam comércios que não cumprem o decreto 316/2020 que autoriza a abertura parcial de comércios e serviços no horário das 10h às 16h.#pinhaispr #rmc #covidー19 #coronavirus #coronavirusbrasil #coronavirusnobrasil https://t.co/xvgy5lg8ec,1.0,1,agente fiscalização notificar comércio cumprir decreto autorizar abertura parcial comércio serviço horário h h
430.0,"pastor morre em ivaiporã, sendo a primeira vítima de coronavírus . https://t.co/ichrl8sdcb https://t.co/qp9rhlv9yn",-1.0,0,pastor morrer ivaiporã ser primeiro vítima coronavíru
225.0,"dos meus criadores de jorge amado e zélia se protegem contra o #coronavirus, no rio vermelho, em #salvador, agora é a vez de dorival caymmi, em itapuã.📸 thiago barros/reprodução_insta:salvadormeuamor https://t.co/pyx8b9rjga",1.0,1,criador jorge amado zélia proteger contra rio vermelho agora vez dorival caymmi itapuã thiago barrosreprodução _ instasal vadormeuamor
549.0,Racho quando eu e minha mãe discute sobre corona ela sempre lança “meu fi c fuma igual um condenado e tem medo de coronavirus “ kkkkkkkk,1.0,1,rachar mãe discutir sobre corona sempre lançar fi c fumar igual condenar medo coronaviru kkkkkkkk
27.0,@costa_rui anuncia negociação com supermercados para viabilizar alimentação de estudantes . https://t.co/f1ddkmnpyj#covid19nasfavelas #nordesteusou #coronavirus https://t.co/b2uzgpxzve,1.0,1,anunciar negociação supermercado viabilizar alimentação estudante
197.0,se eu não morrer de covid-19 eu morro de ansiedade,-1.0,0,morrer covid morro ansiedade
21.0,"55% das pessoas diagnosticadas com coronavírus já estão recuperadas, informa ministério da saúde. https://t.co/iqr6hhy3pf",1.0,1,pessoa diagnosticar coronavíru recuperar informar ministério saúde
583.0,"#Coronavirus Eu encorajo o Brasil, nem tudo serão mortes",1.0,1,encorar brasil tudo morte
271.0,estado do rio tem 42 mortes por coronavírus em um só dia https://t.co/li2q34eswi via @jornalextra,-1.0,0,estado rio morte coronavíru dia ver
247.0,"em editorial, jornal americano atacou postura do presidente brasileiro diante do novo coronavírus e disse que donald trump faria um grande favor ao brasil se aconselhasse bolsonaro a mudar de atitude.https://t.co/u5jkqejhk8",-1.0,0,editorial jornal americano atacar postura presidente brasileiro diante novo coronavíru dizer donald trump fazer grande favor brasil aconselhar bolsonaro mudar atitude
146.0,argentina é mais eficiente contra a covid-19 do que o brasil. https://t.co/mwaihpvs87#coronavirusargentina #coronavirus #covid19 #coronavirusbrasil,1.0,1,argentino eficiente contra covid brasil
465.0,resultados preliminares apontaram riscos à vida dos pacientes que receberam altas doses de cloroquina https://t.co/wkv9sluogf #coronavírus,-1.0,0,resultado preliminar apontar risco vida paciente receber alto dose cloroquino
564.0,Aula de sensatez.\n\nJuntos venceremos o #coronavírus e o governo da morte. #ForaBolsonaro\nDefesa da #vida e da #saúde do povo #brasileiro. #Movimento65 https://t.co/NaMcrCIPwu,1.0,1,aula sensateznnjunto vencer governo morte ndefesar povo
26.0,"@cherysil_ @antniosilvio3 está muito claro o coronavírus foi um engodo muito bem aplicado, com finalidade de roubo de bilhões e tentativa de derrubar bolsonaro.",-1.0,0,claro coronavíru engodo bem aplicar finalidade roubo bilhão tentativa derrubar bolsonaro
522.0,Eu to tentando entender se essa pandemia e de coronavírus ou de gravidez kkkk'},1.0,1,to tentar entender pandemia coronavíru gravidez kkkk
427.0,passando para lembrar que o país que gasta 63 milhões de reais por ano com auxílio paletó é o mesmo em que os profissionais de saúde estão usando saco plástico como epi no enfrentamento do coronavírus. https://t.co/prthfsdx0r,-1.0,0,passar lembrar país gastar milhão real ano auxílio paletó profissional saúde usar saco plástico epi enfrentamento coronavíru
598.0,Ferrari liderando um treino. Pode comemorar que hoje se inicia o fim do coronavírus,1.0,1,ferrari liderar treino poder comemorar hoje iniciar fim coronavíru
213.0,"depois de uma morte e 35 suspeitas de contaminação, denúncia aponta negligência. https://t.co/3tihfnb1si",-1.0,0,morte suspeito contaminação denúncia apontar negligência
